numero de instancias: 500 
iteración: 134, distancia: 0.060857771473586585, clusters fusionados: 633:[2, 385], Silhouette Score: 0.25688191555855655
iteración: 135, distancia: 0.061175124114518954, clusters fusionados: 634:[0, 327], Silhouette Score: 0.2588165334947652
iteración: 136, distancia: 0.06175871207335411, clusters fusionados: 635:[367, 408], Silhouette Score: 0.26008485330249226
iteración: 137, distancia: 0.06189989305231325, clusters fusionados: 636:[586, 300], Silhouette Score: 0.26115184870989483
iteración: 138, distancia: 0.06254731764917208, clusters fusionados: 637:[513, 227], Silhouette Score: 0.26211430826627086
iteración: 139, distancia: 0.06264418885650566, clusters fusionados: 638:[103, 571], Silhouette Score: 0.2633371648655084
iteración: 140, distancia: 0.06281275345012317, clusters fusionados: 639:[145, 427], Silhouette Score: 0.26425365051799526
iteración: 141, distancia: 0.06287065855066114, clusters fusionados: 640:[240, 273], Silhouette Score: 0.2667480390502363
iteración: 142, distancia: 0.0641848855025907, clusters fusionados: 641:[525, 94], Silhouette Score: 0.26824522972050385
iteración: 143, distancia: 0.06456982355216645, clusters fusionados: 642:[134, 336], Silhouette Score: 0.26948900990189895
iteración: 144, distancia: 0.0646337374898167, clusters fusionados: 643:[176, 178], Silhouette Score: 0.27196655870712344
iteración: 145, distancia: 0.06502023876851966, clusters fusionados: 644:[150, 151], Silhouette Score: 0.2737564602440085
iteración: 146, distancia: 0.06522514956524672, clusters fusionados: 645:[4, 415], Silhouette Score: 0.27473382144479563
iteración: 147, distancia: 0.0667802291217446, clusters fusionados: 646:[122, 196], Silhouette Score: 0.2764894013012672
iteración: 148, distancia: 0.06764249190087443, clusters fusionados: 647:[30, 51], Silhouette Score: 0.276875419420091
iteración: 149, distancia: 0.06863509299021284, clusters fusionados: 648:[100, 259], Silhouette Score: 0.27875145998567974
iteración: 150, distancia: 0.06913875787827833, clusters fusionados: 649:[325, 337], Silhouette Score: 0.27964177391311273
iteración: 151, distancia: 0.0692321502183631, clusters fusionados: 650:[180, 519], Silhouette Score: 0.27971645825345476
iteración: 152, distancia: 0.06999221801639655, clusters fusionados: 651:[582, 290], Silhouette Score: 0.28098912788487085
iteración: 153, distancia: 0.07027998762136013, clusters fusionados: 652:[548, 153], Silhouette Score: 0.2823894447020161
iteración: 154, distancia: 0.07029775185639857, clusters fusionados: 653:[185, 400], Silhouette Score: 0.28296704271016515
iteración: 155, distancia: 0.0704776445236876, clusters fusionados: 654:[95, 432], Silhouette Score: 0.2846264515159213
iteración: 156, distancia: 0.0708595850764592, clusters fusionados: 655:[559, 340], Silhouette Score: 0.28523539284597027
iteración: 157, distancia: 0.07093954210311697, clusters fusionados: 656:[627, 258], Silhouette Score: 0.285535353467867
iteración: 158, distancia: 0.07111437454508646, clusters fusionados: 657:[622, 193], Silhouette Score: 0.2873383359907776
iteración: 159, distancia: 0.07201033810661245, clusters fusionados: 658:[170, 365], Silhouette Score: 0.28918779144774304
iteración: 160, distancia: 0.07367734676567653, clusters fusionados: 659:[11, 56], Silhouette Score: 0.2899050593380944
iteración: 161, distancia: 0.07479363815917212, clusters fusionados: 660:[241, 481], Silhouette Score: 0.2908577032048363
iteración: 162, distancia: 0.07493763062606128, clusters fusionados: 661:[20, 585], Silhouette Score: 0.29268093497242
iteración: 163, distancia: 0.07534797100929745, clusters fusionados: 662:[213, 224], Silhouette Score: 0.2943128986478548
iteración: 164, distancia: 0.07544896868971793, clusters fusionados: 663:[532, 527], Silhouette Score: 0.2932865171537839
iteración: 165, distancia: 0.07615796373836206, clusters fusionados: 664:[140, 401], Silhouette Score: 0.2943512931193948
iteración: 166, distancia: 0.07789138146063079, clusters fusionados: 665:[85, 410], Silhouette Score: 0.2951827989289364
iteración: 167, distancia: 0.0779083577482442, clusters fusionados: 666:[575, 344], Silhouette Score: 0.2971022516234939
iteración: 168, distancia: 0.07799768635872967, clusters fusionados: 667:[375, 451], Silhouette Score: 0.2985009805402258
iteración: 169, distancia: 0.07808423714512816, clusters fusionados: 668:[631, 509], Silhouette Score: 0.2962856476994617
iteración: 170, distancia: 0.07819109825150475, clusters fusionados: 669:[105, 453], Silhouette Score: 0.29814842047556694
iteración: 171, distancia: 0.07844840409585402, clusters fusionados: 670:[587, 97], Silhouette Score: 0.2991127097706742
iteración: 172, distancia: 0.07906039383080957, clusters fusionados: 671:[538, 318], Silhouette Score: 0.30076078953773094
iteración: 173, distancia: 0.0796588379607658, clusters fusionados: 672:[8, 205], Silhouette Score: 0.3043516823341978
iteración: 174, distancia: 0.0808083576269148, clusters fusionados: 673:[653, 228], Silhouette Score: 0.3065558447802748
iteración: 175, distancia: 0.08085573630010116, clusters fusionados: 674:[50, 64], Silhouette Score: 0.3077788694813814
iteración: 176, distancia: 0.08121102589802646, clusters fusionados: 675:[244, 523], Silhouette Score: 0.30788672540749007
iteración: 177, distancia: 0.08180096074425114, clusters fusionados: 676:[34, 439], Silhouette Score: 0.3086005233726729
iteración: 178, distancia: 0.08252420511028669, clusters fusionados: 677:[40, 570], Silhouette Score: 0.30932175197074024
iteración: 179, distancia: 0.08260439433806023, clusters fusionados: 678:[324, 428], Silhouette Score: 0.3102406138859418
iteración: 180, distancia: 0.08299499347765371, clusters fusionados: 679:[604, 468], Silhouette Score: 0.3122203876443042
iteración: 181, distancia: 0.08364410961707215, clusters fusionados: 680:[546, 522], Silhouette Score: 0.312011713655769
iteración: 182, distancia: 0.08365640821757343, clusters fusionados: 681:[588, 93], Silhouette Score: 0.3144827959568006
iteración: 183, distancia: 0.08400245864348012, clusters fusionados: 682:[558, 596], Silhouette Score: 0.3152735071398666
iteración: 184, distancia: 0.08470928101626647, clusters fusionados: 683:[262, 518], Silhouette Score: 0.31547119423551107
iteración: 185, distancia: 0.08583919472491236, clusters fusionados: 684:[282, 295], Silhouette Score: 0.3166467433764102
iteración: 186, distancia: 0.08743874574135505, clusters fusionados: 685:[568, 133], Silhouette Score: 0.3168279893900033
iteración: 187, distancia: 0.08770810847946686, clusters fusionados: 686:[380, 382], Silhouette Score: 0.3182926338839843
iteración: 188, distancia: 0.08905791709060906, clusters fusionados: 687:[53, 376], Silhouette Score: 0.3188410219319675
iteración: 189, distancia: 0.08938277219724011, clusters fusionados: 688:[200, 422], Silhouette Score: 0.3196418255885754
iteración: 190, distancia: 0.08939872877760013, clusters fusionados: 689:[58, 560], Silhouette Score: 0.31933315602078993
iteración: 191, distancia: 0.09035364495702572, clusters fusionados: 690:[524, 471], Silhouette Score: 0.3188046222849952
iteración: 192, distancia: 0.09053180376919766, clusters fusionados: 691:[143, 363], Silhouette Score: 0.3191288482002114
iteración: 193, distancia: 0.09075611242444964, clusters fusionados: 692:[345, 456], Silhouette Score: 0.3207762093675728
iteración: 194, distancia: 0.09109757171018334, clusters fusionados: 693:[195, 210], Silhouette Score: 0.3226084666874632
iteración: 195, distancia: 0.09120612135275379, clusters fusionados: 694:[552, 214], Silhouette Score: 0.32394728247212323
iteración: 196, distancia: 0.09191582165787127, clusters fusionados: 695:[41, 304], Silhouette Score: 0.32487356953851076
iteración: 197, distancia: 0.09251845038113037, clusters fusionados: 696:[308, 620], Silhouette Score: 0.32566950271184386
iteración: 198, distancia: 0.09333099519317459, clusters fusionados: 697:[71, 514], Silhouette Score: 0.3263244984010888
iteración: 199, distancia: 0.09335312343836327, clusters fusionados: 698:[607, 291], Silhouette Score: 0.32736329536111886
iteración: 200, distancia: 0.09459837720495672, clusters fusionados: 699:[81, 115], Silhouette Score: 0.3281476233447966
iteración: 201, distancia: 0.09591410092648145, clusters fusionados: 700:[599, 194], Silhouette Score: 0.3295682898590509
iteración: 202, distancia: 0.09659258667642621, clusters fusionados: 701:[550, 330], Silhouette Score: 0.33074155582971293
iteración: 203, distancia: 0.09771002548937896, clusters fusionados: 702:[219, 561], Silhouette Score: 0.33094761793115085
iteración: 204, distancia: 0.09819438581213356, clusters fusionados: 703:[650, 199], Silhouette Score: 0.3311455022162866
iteración: 205, distancia: 0.09881118997830536, clusters fusionados: 704:[208, 250], Silhouette Score: 0.3322341100340149
iteración: 206, distancia: 0.09883028788133766, clusters fusionados: 705:[594, 338], Silhouette Score: 0.3330959634890426
iteración: 207, distancia: 0.09950293764678773, clusters fusionados: 706:[221, 497], Silhouette Score: 0.33387457458248293
iteración: 208, distancia: 0.0998856535377893, clusters fusionados: 707:[605, 248], Silhouette Score: 0.33573474472914233
iteración: 209, distancia: 0.09988858745833847, clusters fusionados: 708:[372, 463], Silhouette Score: 0.3381727016599975
iteración: 210, distancia: 0.09992969090757912, clusters fusionados: 709:[189, 232], Silhouette Score: 0.34080908883455846
iteración: 211, distancia: 0.10092186358119586, clusters fusionados: 710:[255, 306], Silhouette Score: 0.34124193814045267
iteración: 212, distancia: 0.10223655233901004, clusters fusionados: 711:[284, 610], Silhouette Score: 0.34166019917734924
iteración: 213, distancia: 0.10246569553507652, clusters fusionados: 712:[18, 601], Silhouette Score: 0.34277771405866564
iteración: 214, distancia: 0.10248956472408863, clusters fusionados: 713:[564, 566], Silhouette Score: 0.3417095899466832
iteración: 215, distancia: 0.10329251900443864, clusters fusionados: 714:[69, 612], Silhouette Score: 0.3423748127934109
iteración: 216, distancia: 0.10385861352099315, clusters fusionados: 715:[504, 595], Silhouette Score: 0.34155980313291046
iteración: 217, distancia: 0.10435549068203952, clusters fusionados: 716:[543, 370], Silhouette Score: 0.3416924312659267
iteración: 218, distancia: 0.10524201395922127, clusters fusionados: 717:[636, 139], Silhouette Score: 0.3427237493926172
iteración: 219, distancia: 0.10524311862047006, clusters fusionados: 718:[579, 162], Silhouette Score: 0.34501554227555525
iteración: 220, distancia: 0.10670383845514958, clusters fusionados: 719:[687, 90], Silhouette Score: 0.34641957624481473
iteración: 221, distancia: 0.10909177871649287, clusters fusionados: 720:[689, 160], Silhouette Score: 0.3470647842720131
iteración: 222, distancia: 0.11011149947070757, clusters fusionados: 721:[656, 378], Silhouette Score: 0.3480160632863323
iteración: 223, distancia: 0.11041445388484508, clusters fusionados: 722:[615, 22], Silhouette Score: 0.34876090904607043
iteración: 224, distancia: 0.11043074298113556, clusters fusionados: 723:[665, 274], Silhouette Score: 0.3494257055073275
iteración: 225, distancia: 0.11056260646110724, clusters fusionados: 724:[621, 177], Silhouette Score: 0.35042679167628177
iteración: 226, distancia: 0.11080160755723158, clusters fusionados: 725:[576, 343], Silhouette Score: 0.3516974313769507
iteración: 227, distancia: 0.11136709420304754, clusters fusionados: 726:[572, 234], Silhouette Score: 0.35246966305601074
